host_response_rate,host_acceptance_rate,latitude,longitude,bedrooms,beds,minimum_nights,accommodates,price,review_scores_rating,number_of_reviews
NA,0,49.22847,-123.03216,1,2,2,3,72,99,28
100,92,49.22232,-123.11702,1,1,30,2,29,81,18
NA,NA,49.24579,-123.05891,1,1,1,2,58,93,15
NA,NA,49.27873,-123.12046,1,1,30,1,51,100,1
100,NA,49.26164,-123.07352,1,1,1,2,60,100,10
94,3,49.24875,-123.07521,1,1,1,2,69,90,2
100,83,49.21166,-123.1133,1,1,20,1,35,91,22
NA,NA,49.28531,-123.06652,1,1,3,2,65,80,3
94,99,49.23435,-123.06645,1,1,2,2,56,96,24
100,95,49.25566,-123.09583,1,1,2,1,35,91,18
100,100,49.21256,-123.11908,1,1,1,2,31,95,61
NA,NA,49.26211,-123.09153,1,1,2,2,80,96,12
100,100,49.24298,-123.03949,1,1,2,2,70,88,13
100,100,49.24309,-123.03939,1,1,2,2,59,92,29
100,NA,49.23331,-123.09835,1,2,60,1,29,100,2
NA,100,49.24104,-123.07267,1,1,4,2,69,100,21
71,93,49.28835,-123.12433,1,1,30,3,78,100,3
100,100,49.22246,-123.04124,1,1,2,2,79,93,91
NA,NA,49.23292,-123.14046,1,1,4,2,35,100,4
100,100,49.25813,-123.12783,1,1,30,2,60,100,5
NA,NA,49.20777,-123.05639,3,1,1,1,40,90,5
NA,100,49.23885,-123.07307,1,1,2,2,59,96,11
100,96,49.24522,-123.02829,3,5,2,7,73,98,48
100,100,49.23231,-123.14134,1,1,1,2,52,100,9
NA,NA,49.20599,-123.12547000000001,1,1,1,2,28,75,4
NA,NA,49.25756,-123.10356,1,1,153,2,80,80,2
100,NA,49.22336,-123.10233,1,2,1,4,49,81,14
100,89,49.2305,-123.10041,2,2,2,3,70,88,8
NA,NA,49.28532,-123.12951,2,2,30,2,55,100,2
98,99,49.29003,-123.12507,1,1,28,2,29,95,4
NA,NA,49.21878,-123.06693,2,3,1,6,20,95,16
92,75,49.24152,-123.08913,1,1,30,1,38,96,5
NA,NA,49.2079,-123.05642,1,1,1,4,40,89,7
71,93,49.28938,-123.12651,1,2,30,3,77,89,7
94,98,49.28057,-123.13068,1,1,30,2,42,93,30
100,98,49.25031,-123.04926,1,2,2,2,52,90,46
90,89,49.25175,-123.05271,2,2,13,4,68,90,16
100,83,49.22246,-123.05271,1,1,3,2,69,95,11
100,92,49.24507,-123.11927,1,2,30,4,55,74,10
NA,NA,49.26102,-123.07556,1,1,30,1,29,100,4
NA,100,49.24882,-123.16693,1,1,1,2,70,100,28
0,100,49.23875,-123.03695,1,1,1,2,70,68,5
NA,100,49.22286,-123.11803,1,1,30,2,80,100,1
100,100,49.28911,-123.059,1,2,2,3,79,95,19
100,50,49.21428,-123.11293,1,1,30,2,50,100,1
100,100,49.26357,-123.0656,1,1,30,2,59,100,4
100,96,49.25564,-123.09513,2,3,2,4,79,98,41
71,93,49.28942,-123.12335,1,2,30,3,78,80,1
100,100,49.24268,-123.08222,1,1,1,2,70,100,2
